Date,Close,High,Low,Open,Volume
2024-02-07,1424.9659423828125,1432.2283386037336,1412.2196294925052,1418.8151411125152,9296568
2024-02-08,1432.845947265625,1442.0845126481563,1410.515263064875,1432.7224367107362,14694634
2024-02-09,1443.34423828125,1454.4354611714164,1433.660963243804,1436.6746688077615,12556798
2024-02-12,1435.04443359375,1443.5913882496639,1425.163589047209,1443.3443671360003,6674430
2024-02-13,1447.642333984375,1461.3767303535824,1436.674621997369,1438.1567484987418,7715594
2024-02-14,1463.7235107421875,1465.9714268487612,1440.1329959711338,1440.1329959711338,7117888
2024-02-15,1453.0770263671875,1467.0337197836,1449.050630318146,1465.6751036103208,10006782
2024-02-16,1443.17138671875,1459.4007219371786,1441.170612214809,1458.8819534815811,9767498
2024-02-19,1456.4364013671875,1461.8708655513933,1436.2053974591388,1444.6288410678121,6729828
2024-02-20,1453.4969482421875,1457.9186020207894,1444.3818933388152,1457.4492860314679,7117496
2024-02-21,1450.2115478515625,1470.7884795851646,1440.1825868389801,1456.4365283424868,12720292
2024-02-22,1464.0941162109375,1467.2559381666686,1440.6271108051608,1450.6561919754163,18493728
2024-02-23,1475.82763671875,1479.7059164315408,1465.6750448712426,1471.7517883622584,14438584
2024-02-26,1469.6026611328125,1476.7169415654328,1464.8352018923576,1475.753583346703,7513106
2024-02-27,1467.9476318359375,1482.0771665679397,1460.4382144226488,1465.3539102526265,10826044
2024-02-28,1438.2803955078125,1473.5056294891751,1432.8953836215212,1465.3292067243183,8647950
2024-02-29,1443.393798828125,1461.352161163495,1437.1935448412644,1447.5437052316252,23628976
2024-03-01,1474.345458984375,1482.1266237591103,1445.0734581651325,1446.061542580972,12132926
2024-03-04,1489.4384765625,1494.4282305064353,1469.503825173054,1472.7150995331629,10024420
2024-03-05,1482.3243408203125,1489.4386216961695,1468.3430414288637,1487.832984359659,7107668
2024-03-06,1485.0908203125,1491.0193265812127,1460.8827530485903,1475.6545662551582,7805676
2024-03-07,1461.3028564453125,1485.1897258668157,1457.968071396935,1485.0662153094684,8315726
2024-03-11,1449.1246337890625,1471.2577496463198,1446.0615961097308,1471.2577496463198,11277130
2024-03-12,1457.844482421875,1470.269595576354,1447.568380480176,1449.1245651727334,9432678
2024-03-13,1415.10986328125,1465.4279903850718,1410.7622676768488,1462.142657909758,13522134
2024-03-14,1414.4180908203125,1431.2649780682007,1408.514310659922,1422.5450608782721,18571102
2024-03-15,1401.3260498046875,1416.1473166057365,1396.0645483366263,1408.9589780840722,19223818
2024-03-18,1422.3228759765625,1424.5460660460144,1399.6463855144648,1403.0799549430176,9169392
2024-03-19,1408.267333984375,1420.4701525728194,1400.3626585436627,1411.7256294896865,8275764
2024-03-20,1426.546875,1427.7819805194806,1407.056934025752,1410.935092987457,8488806
2024-03-21,1433.685791015625,1440.5283239841642,1427.460931435626,1435.2173701383908,13006936
2024-03-22,1437.6875,1442.6031956703118,1430.1039041326171,1432.697625631682,19527608
2024-03-26,1424.3978271484375,1435.0939139473653,1421.853557874578,1427.7820647176966,11415906
2024-03-27,1475.061767578125,1482.1265951381042,1429.7581221098912,1430.74620650665,16326644
2024-03-28,1468.145263671875,1488.0057370987279,1461.0311038405712,1475.0865810929813,21854364
2024-04-01,1467.0830078125,1476.1733358521226,1464.8350917273362,1474.6912092837645,5013880
2024-04-02,1469.2320556640625,1476.198098955644,1457.4244952875333,1466.3172549197961,8910166
2024-04-03,1454.0650634765625,1466.7619246317818,1451.397283687729,1464.4152240453116,7008292
2024-04-04,1445.493408203125,1462.117879861305,1432.7223691832353,1462.117879861305,14490272
2024-04-05,1442.7020263671875,1453.274601948929,1438.6509043996564,1443.467815909923,7442298
2024-04-08,1468.2686767578125,1473.2090987059642,1443.5912932499484,1445.5427357963142,8357118
2024-04-09,1446.2098388671875,1472.0482715276003,1445.0735176190665,1471.2577557160955,7071414
2024-04-10,1461.945068359375,1469.281643980642,1448.8776750369068,1448.8776750369068,9138330
2024-04-12,1449.668212890625,1468.76289779902,1445.6416961431235,1458.289226116748,15551012
2024-04-15,1447.3707275390625,1464.4646364315843,1429.0911655763507,1443.591352839028,12902062
2024-04-16,1448.28466796875,1453.645073932083,1433.636365403093,1436.0323976352518,9366184
2024-04-18,1446.876708984375,1468.2934876101954,1441.9610129858208,1446.0615875622616,19005692
2024-04-19,1452.607666015625,1456.4364932961696,1425.8306012864564,1439.4167626045175,15741778
2024-04-22,1462.2166748046875,1465.1562017707047,1450.3103301575065,1454.9048261235944,10350362
2024-04-23,1441.9364013671875,1475.7042382593086,1438.2064787775075,1461.3770126451404,14605554
2024-04-24,1432.8953857421875,1451.051437133562,1432.2283805059903,1446.0615625184662,10462776
2024-04-25,1442.5784912109375,1450.483166375014,1424.3236561270523,1425.3117405225619,15943926
2024-04-26,1435.2420654296875,1447.5436681516292,1432.7224019248206,1446.5061312694434,9413848
2024-04-29,1447.568359375,1450.4091019997668,1432.7223672737166,1432.7223672737166,7247974
2024-04-30,1449.5198974609375,1465.403306850403,1445.4440490785064,1450.5079819172845,11474262
2024-05-02,1449.0751953125,1459.7217080112785,1446.6790424453916,1454.460206935621,14512646
2024-05-03,1416.9130859375,1457.3750954799905,1399.275802819383,1453.4722101911175,17226958
2024-05-06,1402.610595703125,1422.841600588335,1401.1037428015688,1418.3952205864964,7394208
2024-05-07,1384.775634765625,1403.8209867220144,1375.4135586957902,1399.1028593353728,14517472
2024-05-08,1401.647216796875,1415.8755361000522,1380.8479912935143,1380.8479912935143,9439002
2024-05-09,1377.51318359375,1406.7851843569276,1373.437335386219,1396.1632769069981,11009612
2024-05-10,1390.65478515625,1393.1990543318577,1371.535254832905,1380.106935558881,10505096
2024-05-13,1385.986083984375,1390.2101693574684,1367.5089520262873,1383.2195197456997,8456620
2024-05-14,1403.1539306640625,1410.070521585227,1383.342910466477,1384.2815424166113,7188300
